"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1996-06","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","71.8","","","","1"
"1996-07","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","62.9","","","","1"
"1996-08","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","64.2","","","","1"
"1996-09","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.1","","","","1"
"1996-10","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","69.6","","","","1"
"1996-11","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","69.9","","","","1"
"1996-12","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","71.1","","","","1"
"1997-01","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.2","","","","1"
"1997-02","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.2","","","","1"
"1997-03","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.1","","","","1"
"1997-04","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","71.6","","","","1"
"1997-05","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.9","","","","1"
"1997-06","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.9","","","","1"
