,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,FPR,VPR
17,Gartic Phone,"5,327,323 hours","57,029 hours","235,915",612,"21,220","7,399",79,93.41,"134,501","5,257,686",2.36,92.19
18,Rocket League,"21,044,131 hours","1,279,468 hours","227,721","3,703","274,006","29,227","1,777",16.45,"1,721,290","36,467,222",1.35,28.50
19,Dota 2,"41,577,745 hours","662,165 hours","218,653","1,725","31,128","57,746",919,62.79,"483,366","55,707,253",0.73,84.13
20,Apex Legends,"53,809,331 hours","4,272,933 hours","208,798","13,184","312,512","74,735","5,934",12.59,"2,453,686","56,054,453",0.57,13.12
21,Science & Technology,"3,065,283 hours","190,876 hours","203,313",491,"10,279","4,257",265,16.06,"295,386","4,442,727",1.55,23.28
22,Pokémon Trading Card Game,"4,789,816 hours","55,449 hours","201,453",268,"7,407","6,652",77,86.38,"185,796","4,252,394",3.35,76.69
23,Jackbox Party Packs,"3,125,441 hours","71,147 hours","199,940",425,"18,548","4,340",98,43.93,"114,280","1,906,412",1.61,26.80
24,Five Nights at Freddy's,"596,885 hours","23,118 hours","189,409",89,"9,427",829,32,25.82,"84,450","396,379",3.65,17.15
25,Valheim,"34,425,465 hours","1,438,469 hours","188,897","5,307","114,521","47,813","1,997",23.93,"445,767","36,170,229",0.31,25.14
26,Tom Clancy's Rainbow Six Siege,"27,230,030 hours","1,223,553 hours","187,752","3,415","144,713","37,819","1,699",22.25,"1,124,717","21,711,498",0.92,17.74
27,Pummel Party,"1,375,289 hours","25,976 hours","185,358",167,"7,345","1,910",36,52.94,"52,010","2,105,561",2.00,81.06
28,Misa,"115,243 hours",2 hours,"184,903",1,1,160,0,"57,621.50","7,041","86,069","3,520.50","43,034.50"
29,ROBLOX,"2,511,702 hours","357,047 hours","175,156",873,"55,836","3,488",495,7.03,"493,078","2,510,523",1.38,7.03
30,PLAYERUNKNOWN'S BATTLEGROUNDS,"20,264,353 hours","683,693 hours","172,924","1,538","43,110","28,144",949,29.64,"353,010","70,796,221",0.52,103.55
31,Mario Kart 8,"4,826,143 hours","66,918 hours","167,720",340,"12,595","6,702",92,72.12,"123,389","5,347,976",1.84,79.92
32,Little Nightmares,"1,635,047 hours","90,092 hours","167,445",311,"23,009","2,270",125,18.15,"50,234","1,810,855",0.56,20.10
33,Music,"25,444,580 hours","947,964 hours","161,030","2,709","56,933","35,339","1,316",26.84,"1,465,260","76,414,452",1.55,80.61
34,FINAL FANTASY XIV Online,"3,757,144 hours","364,821 hours","149,058","1,578","23,972","5,218",506,10.30,"56,655","3,874,372",0.16,10.62
35,Undertale,"1,084,376 hours","28,232 hours","145,487",87,"5,595","1,506",39,38.41,"17,703","416,855",0.63,14.77
36,Call of Duty: Black Ops Cold War,"12,046,885 hours","1,312,734 hours","140,677","4,848","142,801","16,731","1,823",9.18,"549,139","10,769,704",0.42,8.20
37,World of Warcraft,"31,752,979 hours","1,519,070 hours","139,533","6,182","77,900","44,101","2,109",20.90,"567,835","43,574,640",0.37,28.69
38,GeoGuessr,"2,471,525 hours","40,995 hours","128,921",156,"9,478","3,432",56,60.29,"116,278","4,780,562",2.84,116.61
39,Phasmophobia,"5,017,214 hours","434,772 hours","127,078","1,724","82,458","6,968",603,11.54,"239,261","4,439,766",0.55,10.21
40,Little Nightmares II,"7,368,515 hours","195,117 hours","125,493","1,893","34,741","10,234",270,37.76,"167,767","9,037,940",0.86,46.32
41,F1 2020,"1,468,445 hours","93,221 hours","125,228",770,"13,983","2,039",129,15.75,"122,830","2,054,262",1.32,22.04
42,Talk Shows & Podcasts,"7,237,032 hours","178,506 hours","124,418",626,"17,869","10,051",247,40.54,"188,542","15,402,105",1.06,86.28
43,Escape From Tarkov,"40,947,560 hours","1,249,198 hours","123,010","2,839","54,911","56,871","1,734",32.78,"577,751","35,966,843",0.46,28.79
44,Monopoly Plus,"1,020,415 hours","11,084 hours","120,833",68,"3,227","1,417",15,92.06,"33,179","602,210",2.99,54.33
45,The Medium,"2,376,809 hours","108,435 hours","117,046","1,490","20,010","3,301",150,21.92,"39,034","3,751,975",0.36,34.60
46,Stopots,"129,590 hours","2,194 hours","115,784",21,"1,165",179,3,59.07,"7,299","190,342",3.33,86.76
47,Project Winter,"484,567 hours","16,008 hours","113,964",114,"3,144",673,22,30.27,"8,719","213,542",0.54,13.34
48,Gang Beasts,"310,569 hours","16,126 hours","109,105",88,"5,020",431,22,19.26,"11,032","323,116",0.68,20.04
49,Resident Evil Village,"114,843 hours","1,425 hours","108,814",14,775,159,1,80.59,"2,416","101,861",1.70,71.48
50,THE GAME OF LIFE 2,"345,690 hours","1,296 hours","108,470",12,543,480,1,266.74,"7,191","220,533",5.55,170.16
