,,,,,,,,,,,,,
List of Alberta Snowfly Elements in the ACIMS Database - June 2022,,,,,,,,,,,,,
,"Please note:  Elements may be tracked at the species or subspecies/variety level, so be sure to check both the species and infraspecies for tracking status.",,,,,,,,,,,,
Alberta,Invertebrate Animal,IIPLE0S040,Nemouridae,Soyedina potteri,Idaho forestfly,Soyedina potteri,Rocky Mountain Forestfly,SU,NU,G2,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE0T010,Nemouridae,Visoka cataractae,cataract forestfly,Visoka cataractae,Cataract Forestfly,SU,N4N5,G4G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0U020,Nemouridae,Zapada cinctipes,common forestfly,Zapada cinctipes,Common Forestfly,S4S5,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0U030,Nemouridae,Zapada columbiana,Columbian forestfly,Zapada columbiana,Columbian Forestfly,S4S5,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0U050,Nemouridae,Zapada frigida,frigid forestfly,Zapada frigida,Frigid Forestfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0U060,Nemouridae,Zapada glacier,glacier forestfly,Zapada glacier,Glacier Forestfly,SNA,NNA,G1,Native,Unknown/Undetermined,Do not track
Alberta,Invertebrate Animal,IIPLE0U070,Nemouridae,Zapada haysi,intermountain forestfly,Zapada haysi,Intermountain Forestfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0U090,Nemouridae,Zapada oregonensis,Oregon forestfly,Zapada oregonensis,Oregon Forestfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0W010,Taeniopterygidae,Doddsia occidentalis,western willowfly,Doddsia occidentalis,Western Willowfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0X020,Taeniopterygidae,Oemopteryx fosketti,saskatoon willowfly,Oemopteryx fosketti,Saskatoon Willowfly,SU,NU,G5,Native,Present,Do not track
