PLAYER,TEAM,TEAM_ID,SEASON,GP,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPs,%PTS FT,%PTS OffTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
Tan White,Connecticut Sun,1611661323,2011,34,22,57.3,42.7,44.8,8,34.3,21.9,20.9,25.4,36.8,40,60,87,13,55.9,44.1
Tina Charles,Connecticut Sun,1611661323,2011,34,33.4,99.4,0.6,84.7,22.3,0,6.3,15.3,17.5,62.3,62.6,37.4,0,0,62.6,37.4
Allison Hightower,Connecticut Sun,1611661323,2012,34,24.3,70.3,29.7,62.6,13.9,23.5,9.1,13.9,20.9,48.7,20.8,79.2,94.4,5.6,35.6,64.4
Asjha Jones,Connecticut Sun,1611661323,2012,20,27.9,94.8,5.2,80.7,39.5,4.9,4.1,14.4,14.8,41.2,62.2,37.8,75,25,62.7,37.3
Chay Shegog,Connecticut Sun,1611661323,2012,3,2.9,100,0,66.7,0,0,0,33.3,0,66.7,0,100,0,0,0,100
Danielle McCray,Connecticut Sun,1611661323,2012,28,13.9,51.6,48.4,28.1,10.4,44.4,15.6,27.5,27.4,17.8,47.4,52.6,95,5,71.8,28.2
Jessica Moore,Connecticut Sun,1611661323,2012,8,8.1,100,0,50,16.7,0,0,50,0,33.3,100,0,0,0,100,0
Kalana Greene,Connecticut Sun,1611661323,2012,34,17.8,81.8,18.2,67.1,18.2,10.5,30.8,22.4,26.6,49,52.1,47.9,100,0,56.6,43.4
Kara Lawson,Connecticut Sun,1611661323,2012,34,31.4,49.9,50.1,37.1,20.7,43.4,17.4,19.5,28.3,16.4,36.8,63.2,79.7,20.3,55.6,44.4
Kelsey Griffin,Connecticut Sun,1611661323,2012,31,12.1,84.8,15.2,65.3,10.5,9.5,9.5,25.2,14.7,54.7,51.6,48.4,100,0,55.9,44.1
Mistie Bass,Connecticut Sun,1611661323,2012,32,18.7,99.5,0.5,77.6,18,0,4.3,22.4,17.3,59.6,68.7,31.3,0,0,68.7,31.3
Renee Montgomery,Connecticut Sun,1611661323,2012,34,24,61.3,38.7,34.8,7.6,35.6,13.1,29.6,22,27.3,30.4,69.6,85.1,14.9,52.6,47.4
Tan White,Connecticut Sun,1611661323,2012,31,16,53.1,46.9,38.5,15.4,51.9,5.1,9.6,19.2,23.1,33.3,66.7,85.2,14.8,57.9,42.1
Tina Charles,Connecticut Sun,1611661323,2012,33,33.2,99,1,83.8,25.9,0.5,3.7,15.7,19.2,57.9,59.4,40.6,0,100,59.2,40.8
Allison Hightower,Connecticut Sun,1611661323,2013,21,32,74.1,25.9,62.7,31.3,26.9,8.2,10.4,16.4,31.3,27.4,72.6,83.3,16.7,39.8,60.2
Ashley Walker,Connecticut Sun,1611661323,2013,7,7.8,52.9,47.1,46.2,15.4,46.2,23.1,7.6,23.1,30.8,66.7,33.3,100,0,80,20
Iziane Castro Marques,Connecticut Sun,1611661323,2013,28,15.7,72.1,27.9,51.2,17.9,26.8,9.5,22,26.8,33.3,30.2,69.8,80,20,43.1,56.9
Kalana Greene,Connecticut Sun,1611661323,2013,34,26.1,84.9,15.1,75.9,16.1,6.9,20.1,17.2,26.4,59.8,39.4,60.6,100,0,42.9,57.1
Kara Lawson,Connecticut Sun,1611661323,2013,9,30.1,53.4,46.6,37.1,24.2,53.2,24.2,9.7,17.7,12.9,34.8,65.2,59.1,40.9,46.7,53.3
Kayla Pedersen,Connecticut Sun,1611661323,2013,25,10.8,98.4,1.6,69.7,24.2,0,7.6,30.3,28.8,45.5,78.3,21.7,0,0,78.3,21.7
Kelly Faris,Connecticut Sun,1611661323,2013,24,14.1,49,51,44,16,42,20,14,18,28,45.5,54.5,100,0,66.7,33.3
Kelsey Griffin,Connecticut Sun,1611661323,2013,34,25.4,84.1,15.9,65.5,25,12.2,10.5,22.3,17.9,40.5,66,34,91.7,8.3,68.8,31.2
Mistie Bass,Connecticut Sun,1611661323,2013,33,18,100,0,81.7,7,0,13.5,18.3,23.5,74.8,75.5,24.5,0,0,75.5,24.5
Natasha Lacy,Connecticut Sun,1611661323,2013,3,16.5,94.4,5.6,57.1,28.6,0,0,42.9,71.4,28.6,100,0,0,0,100,0
Renee Montgomery,Connecticut Sun,1611661323,2013,23,27.2,50.5,49.5,38.6,12,46.4,10.7,15,33,26.6,13.3,86.7,61.1,38.9,34.6,65.4
Sydney Carter,Connecticut Sun,1611661323,2013,15,17.3,68.3,31.7,54.8,22.6,19.4,12.9,25.8,30.6,32.3,17.6,82.4,100,0,33.3,66.7
Tan White,Connecticut Sun,1611661323,2013,22,25,70.2,29.8,68,17.7,22.2,15.8,9.8,22.2,50.2,15.9,84.1,73.3,26.7,26.2,73.8
Tina Charles,Connecticut Sun,1611661323,2013,29,32.8,99.4,0.6,83.7,27.3,0,4.6,16.3,16.5,56.4,50.9,49.1,0,0,50.9,49.1
Alex Bentley,Connecticut Sun,1611661323,2014,34,25.6,76.1,23.9,68.8,40.9,22.4,10.6,8.8,24.5,27.9,17.5,82.5,54.8,45.2,24.1,75.9
Allison Hightower,Connecticut Sun,1611661323,2014,14,23.9,74,26,64.8,22.2,16.7,13,18.5,20.4,42.6,22.9,77.1,100,0,34.1,65.9
Alyssa Thomas,Connecticut Sun,1611661323,2014,34,27.3,98.3,1.7,73.5,15.3,0.9,15.6,25.6,19.1,58.2,55.2,44.8,100,0,55.6,44.4
Briana Butler,Connecticut Sun,1611661323,2014,6,5.9,66.7,33.3,100,0,0,0,0,0,100,100,0,0,0,100,0
Chiney Ogwumike,Connecticut Sun,1611661323,2014,31,29.7,100,0,81.7,5,0,15,18.3,22.5,76.7,48.5,51.5,0,0,48.5,51.5
Danielle McCray,Connecticut Sun,1611661323,2014,18,11.5,89.3,10.7,62.9,22.9,17.1,17.1,20,34.3,40,36.4,63.6,100,0,46.2,53.8
Ebony Hoffman,Connecticut Sun,1611661323,2014,8,8.5,94.4,5.6,100,50,0,0,0,0,50,66.7,33.3,0,0,66.7,33.3
Katie Douglas,Connecticut Sun,1611661323,2014,32,32.5,52.3,47.7,33.3,10.5,45.6,11.6,21.1,20,22.8,45.7,54.3,71.9,28.1,58.2,41.8
Kayla Pedersen,Connecticut Sun,1611661323,2014,31,10,100,0,71.1,13.3,0,4.4,28.9,13.3,57.8,62.5,37.5,0,0,62.5,37.5
Kelley Cain,Connecticut Sun,1611661323,2014,9,5,100,0,72.7,0,0,0,27.3,36.4,72.7,100,0,0,0,100,0
Kelly Faris,Connecticut Sun,1611661323,2014,25,7.7,54.5,45.5,28.6,0,42.9,7.1,28.5,17.9,28.6,100,0,75,25,87.5,12.5
Kelsey Bone,Connecticut Sun,1611661323,2014,34,23.3,99,1,86.4,8.2,0,7.9,13.6,17.7,78.2,56.9,43.1,0,0,56.9,43.1
Kelsey Griffin,Connecticut Sun,1611661323,2014,31,19.2,81.1,18.9,64.7,7.4,17.6,6.6,17.7,19.9,57.4,59.1,40.9,87.5,12.5,63.5,36.5
Renee Montgomery,Connecticut Sun,1611661323,2014,33,16.2,49.3,50.7,38.7,11.7,47.3,5.4,14,20.3,27,18.6,81.4,65.7,34.3,39.7,60.3
Alex Bentley,Connecticut Sun,1611661323,2015,25,30,66.6,33.4,56.1,28.3,31.9,19.6,12,19.3,27.8,24.3,75.7,64.1,35.9,35.2,64.8
Alyssa Thomas,Connecticut Sun,1611661323,2015,24,26,100,0,65.7,2.9,0,16.2,34.3,30.5,62.9,53.6,46.4,0,0,53.6,46.4
Camille Little,Connecticut Sun,1611661323,2015,34,27,56.7,43.3,47.9,7.1,41.8,3.6,10.3,20.4,40.7,43.3,56.7,94.9,5.1,62.3,37.7
Chelsea Gray,Connecticut Sun,1611661323,2015,34,16,67.5,32.5,53.6,14.5,29.4,10.6,17,20.4,39.1,15.9,84.1,87,13,34.9,65.1
Elizabeth Williams,Connecticut Sun,1611661323,2015,21,11.7,100,0,80,5.7,0,5.7,20,15.7,74.3,78.6,21.4,0,0,78.6,21.4
Inga Orekhova,Connecticut Sun,1611661323,2015,4,2.6,50,50,0,0,0,0,100,0,0,0,0,0,0,0,0
Jasmine Thomas,Connecticut Sun,1611661323,2015,34,26.7,65.9,34.1,49.6,19.4,33.5,11.9,16.9,27.3,30.2,21.7,78.3,90.3,9.7,43,57
Jennifer Lacy,Connecticut Sun,1611661323,2015,19,16.7,51.5,48.5,40.6,12,38.3,7.5,21.1,23.3,28.6,63,37,100,0,77.3,22.7
Kayla Pedersen,Connecticut Sun,1611661323,2015,33,15.5,100,0,80.4,28.9,0,2.1,19.6,27.8,51.5,74.4,25.6,0,0,74.4,25.6
Kelly Faris,Connecticut Sun,1611661323,2015,32,14.5,65.5,34.5,48.9,14.9,28.7,16,22.4,21.3,34,87,13,88.9,11.1,87.5,12.5
Kelsey Bone,Connecticut Sun,1611661323,2015,33,29.1,99.3,0.7,88,13,0,8.1,12,16.9,75,58,42,0,0,58,42
Nikki Greene,Connecticut Sun,1611661323,2015,12,8.4,100,0,57.1,28.6,0,0,42.9,42.9,28.6,50,50,0,0,50,50
Shekinna Stricklen,Connecticut Sun,1611661323,2015,34,17.6,38.5,61.5,33.5,9.9,58.2,11.8,8.3,25.5,23.6,54.5,45.5,80.4,19.6,68.4,31.6
Alex Bentley,Connecticut Sun,1611661323,2016,34,28.8,61.7,38.3,55.4,33,33,10.5,11.6,20.8,22.4,24.8,75.2,52.1,47.9,32.5,67.5
Alyssa Thomas,Connecticut Sun,1611661323,2016,31,27.2,100,0,75.8,2.9,0,20.4,24.2,21,72.9,50.8,49.2,0,0,50.8,49.2
Aneika Morello,Connecticut Sun,1611661323,2016,10,5,100,0,83.3,16.7,0,0,16.7,0,66.7,40,60,0,0,40,60
Asia Taylor,Connecticut Sun,1611661323,2016,4,4.3,100,0,50,0,0,41.7,50,33.3,50,66.7,33.3,0,0,66.7,33.3
Camille Little,Connecticut Sun,1611661323,2016,33,24.7,64,36,52.1,6.2,33.9,8.9,14,14.8,45.9,58.2,41.8,100,0,70.8,29.2
Chiney Ogwumike,Connecticut Sun,1611661323,2016,33,24.3,100,0,76,2.4,0,12.5,24,20,73.6,67.1,32.9,0,0,67.1,32.9
Courtney Williams,Connecticut Sun,1611661323,2016,19,17.1,83.4,16.6,77.1,35.3,15.7,15.7,7.2,29.4,41.8,37.3,62.7,87.5,12.5,43.3,56.7
Jasmine Thomas,Connecticut Sun,1611661323,2016,34,32.1,72.6,27.4,60.3,21.1,22.6,19.8,17.1,25.6,39.2,21.7,78.3,83.3,16.7,34,66
Jonquel Jones,Connecticut Sun,1611661323,2016,34,14.1,79.4,20.6,63.8,11.2,14.2,4.3,22,19.8,52.6,58.1,41.9,100,0,63.5,36.5
Kelly Faris,Connecticut Sun,1611661323,2016,31,10.2,62.3,37.7,52.5,23,24.6,24.6,22.9,19.7,29.5,56.3,43.8,80,20,61.9,38.1
Kelsey Bone,Connecticut Sun,1611661323,2016,14,23.8,89.4,10.6,76,13.3,8,4,16,12.7,62.7,59.6,40.4,100,0,62.3,37.7
Morgan Tuck,Connecticut Sun,1611661323,2016,26,16.7,65.4,34.6,54.6,3.3,27.9,18.6,17.5,23.5,51.4,52,48,100,0,64.2,35.8
Rachel Banham,Connecticut Sun,1611661323,2016,15,10.9,24.5,75.5,25.5,10.9,70.9,9.1,3.6,29.1,14.5,28.6,71.4,76.9,23.1,60,40
Shekinna Stricklen,Connecticut Sun,1611661323,2016,28,10.9,26,74,19.6,12.5,72.3,5.4,8.1,25,7.1,45.5,54.5,88.9,11.1,76.3,23.7
Alex Bentley,Connecticut Sun,1611661323,2017,31,23.7,70,30,60,27.7,25.4,11.9,14.6,23.1,32.3,24.4,75.6,81.8,18.2,37,63
Alyssa Thomas,Connecticut Sun,1611661323,2017,33,29.8,99.2,0.8,76.7,2.4,0,25.1,23.3,20.2,74.3,54.3,45.7,0,0,54.3,45.7
Brionna Jones,Connecticut Sun,1611661323,2017,23,6.4,100,0,69.7,0,0,9.1,30.3,15.2,69.7,65.2,34.8,0,0,65.2,34.8
Courtney Williams,Connecticut Sun,1611661323,2017,34,26,90.5,9.5,82.8,47.4,8.6,15.6,8.6,17.7,35.4,46.8,53.2,75,25,48.6,51.4
Danielle Adams,Connecticut Sun,1611661323,2017,19,4.4,31.1,68.9,16.3,0,73.5,4.1,10.2,6.1,16.3,50,50,100,0,87.5,12.5
Feyonda Fitzgerald,Connecticut Sun,1611661323,2017,2,3.9,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Jasmine Thomas,Connecticut Sun,1611661323,2017,32,28.2,67,33,51.7,18.5,35.8,15.2,12.5,26,33.1,23.9,76.1,88.9,11.1,44.4,55.6
Jonquel Jones,Connecticut Sun,1611661323,2017,34,28.5,83.5,16.5,59.8,2.7,14.4,10.9,25.8,14.4,57.1,54.5,45.5,88,12,59.1,40.9
Jordan Hooper,Connecticut Sun,1611661323,2017,3,3.5,50,50,0,0,0,0,100,0,0,0,0,0,0,0,0
Kayla Pedersen,Connecticut Sun,1611661323,2017,26,10.2,97.1,2.9,68.4,31.6,0,5.3,31.6,23.7,36.8,84.6,15.4,0,0,84.6,15.4
Lynetta Kizer,Connecticut Sun,1611661323,2017,20,11.9,99,1,80.7,25.2,0,6.7,19.3,18.5,55.5,70.8,29.2,0,0,70.8,29.2
Morgan Tuck,Connecticut Sun,1611661323,2017,22,16.6,70.1,29.9,57.6,6.8,28,5.1,14.4,21.2,50.8,52.9,47.1,81.8,18.2,60,40
Rachel Banham,Connecticut Sun,1611661323,2017,30,9.4,43.6,56.4,34.7,24.5,49,11.2,16.3,22.4,10.2,35.3,64.7,87.5,12.5,60.6,39.4
Shekinna Stricklen,Connecticut Sun,1611661323,2017,34,27.2,25.1,74.9,16.4,5.5,72.7,14.7,10.9,23.2,10.9,37.5,62.5,88.7,11.3,75.8,24.2
Alex Bentley,Connecticut Sun,1611661323,2018,19,21.7,62.1,37.9,53.7,35.8,33.2,15.8,13.1,19.5,17.9,29.4,70.6,61.9,38.1,38.9,61.1
Alyssa Thomas,Connecticut Sun,1611661323,2018,24,30.6,99.5,0.5,79,5.6,0,10.9,21,20.6,73.4,62.2,37.8,0,0,62.2,37.8
Betnijah Laney,Connecticut Sun,1611661323,2018,29,9.3,87.1,12.9,83.1,18.2,3.9,20.8,13,26,64.9,37.5,62.5,100,0,39.4,60.6
Brionna Jones,Connecticut Sun,1611661323,2018,27,9,100,0,71.4,9.5,0,2.4,28.6,16.7,61.9,60,40,0,0,60,40
Chiney Ogwumike,Connecticut Sun,1611661323,2018,31,25.5,99.3,0.7,78.3,4,0.7,3.1,21,17,74.3,67.4,32.6,100,0,67.6,32.4
Courtney Williams,Connecticut Sun,1611661323,2018,30,27.1,85.9,14.1,79.7,50.7,15.8,18.7,4.5,19.5,29,40.4,59.6,85,15,45.6,54.4
Jasmine Thomas,Connecticut Sun,1611661323,2018,34,28.1,63.2,36.8,52.2,16,31.6,15.6,16.2,19.7,36.2,14.9,85.1,65.2,34.8,29.4,70.6
Jonquel Jones,Connecticut Sun,1611661323,2018,34,20.5,60.5,39.5,49.4,4.5,37.4,5.5,13.2,16.7,44.9,67.7,32.3,98,2,77.9,22.1
Layshia Clarendon,Connecticut Sun,1611661323,2018,15,15.9,90.5,9.5,76.5,14.8,0,12.3,23.5,33.3,61.7,48.4,51.6,0,0,48.4,51.6
Lexie Brown,Connecticut Sun,1611661323,2018,22,5.6,34.1,65.9,16.2,5.4,73,8.1,10.8,24.3,10.8,0,100,88.9,11.1,66.7,33.3
Morgan Tuck,Connecticut Sun,1611661323,2018,34,13.6,62.7,37.3,57.7,6,32.8,11.9,9.5,14.9,51.7,65.5,34.5,100,0,75,25
Rachel Banham,Connecticut Sun,1611661323,2018,33,12.9,39.1,60.9,28.9,15,52,6.4,19.1,19.1,13.9,40,60,93.3,6.7,69.1,30.9
Shekinna Stricklen,Connecticut Sun,1611661323,2018,34,18.8,24.6,75.4,17,9.8,77.7,13.4,5.3,12.5,7.1,52.6,47.4,94.8,5.2,84.4,15.6
Alyssa Thomas,Connecticut Sun,1611661323,2019,34,30.2,99.7,0.3,84.8,1.5,0,21.2,15.2,26.5,83.3,64.9,35.1,0,0,64.9,35.1
Bria Holmes,Connecticut Sun,1611661323,2019,34,15.6,67.4,32.6,53.5,8.5,28.2,15.5,18.3,17.8,45.1,63.2,36.8,90,10,70.1,29.9
Bridget Carleton,Connecticut Sun,1611661323,2019,4,7.1,66.7,33.3,0,0,0,0,100,0,0,0,0,0,0,0,0
Brionna Jones,Connecticut Sun,1611661323,2019,27,8.4,98.7,1.3,74.5,4.3,0,4.3,25.5,19.1,70.2,68.6,31.4,0,0,68.6,31.4
Courtney Williams,Connecticut Sun,1611661323,2019,34,29.1,91.9,8.1,76,40.9,10.7,16.9,13.3,27.8,35.1,48.5,51.5,87.5,12.5,51.9,48.1
Jasmine Thomas,Connecticut Sun,1611661323,2019,34,29.7,65.4,34.6,49.6,13.7,35.6,12.1,14.8,19.5,35.9,24.5,75.5,84.4,15.6,43.9,56.1
Jonquel Jones,Connecticut Sun,1611661323,2019,34,28.8,64,36,52.3,8,26,4,21.7,18.1,44.3,63.8,36.2,97.7,2.3,72.3,27.7
Kristine Anigwe,Connecticut Sun,1611661323,2019,17,7.1,100,0,64.7,11.8,0,5.9,35.3,14.7,52.9,81.8,18.2,0,0,81.8,18.2
Layshia Clarendon,Connecticut Sun,1611661323,2019,9,15.3,95.3,4.7,57.1,10.7,10.7,7.1,32.2,7.1,46.4,37.5,62.5,100,0,44.4,55.6
Morgan Tuck,Connecticut Sun,1611661323,2019,33,10.7,63.8,36.2,48.8,8.1,36.6,5.7,14.6,22,40.7,70,30,100,0,80,20
Natisha Hiedeman,Connecticut Sun,1611661323,2019,20,10.2,51.7,48.3,30.1,0,53.4,16.4,16.5,23.3,30.1,0,100,76.9,23.1,41.7,58.3
Rachel Banham,Connecticut Sun,1611661323,2019,29,12.2,37.4,62.6,28.8,13.5,63.5,21.2,7.7,17.3,15.4,26.7,73.3,86.4,13.6,62.2,37.8
Shekinna Stricklen,Connecticut Sun,1611661323,2019,34,23.7,22,78,18.3,3.3,74.5,21.9,7.2,20.6,15,71.4,28.6,94.7,5.3,88.5,11.5
Theresa Plaisance,Connecticut Sun,1611661323,2019,9,7.1,73.9,26.1,54.5,18.2,27.3,0,18.2,36.4,36.4,83.3,16.7,100,0,87.5,12.5
Alyssa Thomas,Connecticut Sun,1611661323,2020,21,32.8,99.6,0.4,75.1,4.3,0,13.2,24.9,25.8,70.8,74.6,25.4,0,0,74.6,25.4
Beatrice Mompremier,Connecticut Sun,1611661323,2020,21,8.9,100,0,83.3,16.7,0,8.3,16.7,12.5,66.7,65,35,0,0,65,35
Bria Holmes,Connecticut Sun,1611661323,2020,18,16.2,69.4,30.6,56.8,6.8,34.1,13.6,9.1,17,50,52,48,90,10,62.9,37.1
Briann January,Connecticut Sun,1611661323,2020,13,23.3,60,40,33.8,30.8,50.8,4.6,15.4,10.8,3.1,36.4,63.6,90.9,9.1,63.6,36.4
Brionna Jones,Connecticut Sun,1611661323,2020,21,26.1,99.4,0.6,82.6,7.7,1.3,1.7,16.1,11.9,74.9,69.1,30.9,100,0,69.4,30.6
DeWanna Bonner,Connecticut Sun,1611661323,2020,22,33.3,69.5,30.5,55.8,13.8,18.7,8.1,25.5,26.5,41.9,40.5,59.5,66.7,33.3,45.3,54.7
Essence Carson,Connecticut Sun,1611661323,2020,11,11.2,47.5,52.5,40,28.6,51.4,5.7,8.6,17.1,11.4,100,0,100,0,100,0
Jacki Gemelos,Connecticut Sun,1611661323,2020,6,4.8,25,75,18.2,18.2,81.8,0,0,0,0,0,100,100,0,75,25
Jasmine Thomas,Connecticut Sun,1611661323,2020,19,25.5,66.5,33.5,56.7,28.9,32.5,10.3,10.8,21.6,27.8,36.4,63.6,95.2,4.8,52.6,47.4
Kaila Charles,Connecticut Sun,1611661323,2020,21,17.9,69.1,30.9,51.3,8.8,29.2,8.8,19.5,16.8,42.5,44.8,55.2,90.9,9.1,57.5,42.5
Kaleena Mosqueda-Lewis,Connecticut Sun,1611661323,2020,16,10.2,26.6,73.4,25.9,11.1,66.7,0,7.4,22.2,14.8,85.7,14.3,100,0,94.7,5.3
Natisha Hiedeman,Connecticut Sun,1611661323,2020,22,18.6,49.6,50.4,32.8,7.5,51.5,12.7,15.7,18.7,25.4,27.3,72.7,65.2,34.8,46.7,53.3
Theresa Plaisance,Connecticut Sun,1611661323,2020,13,7,41.4,58.6,37.5,6.3,46.9,0,15.6,31.3,31.3,83.3,16.7,100,0,90.9,9.1
Aleah Goodman,Connecticut Sun,1611661323,2021,1,3.2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Alyssa Thomas,Connecticut Sun,1611661323,2021,2,17.4,100,0,72.7,0,0,0,27.3,36.4,72.7,75,25,0,0,75,25
Beatrice Mompremier,Connecticut Sun,1611661323,2021,32,8.6,100,0,91.2,7,0,3.5,8.8,31.6,84.2,73.1,26.9,0,0,73.1,26.9
Briann January,Connecticut Sun,1611661323,2021,29,30.2,57.5,42.5,43.6,27.7,40.1,7.9,16.3,23.8,15.8,20.5,79.5,88.9,11.1,46.5,53.5
Brionna Jones,Connecticut Sun,1611661323,2021,32,30.6,99.1,0.9,82.6,9.4,0,2.8,17.4,22.8,73.2,66.5,33.5,0,0,66.5,33.5
DeWanna Bonner,Connecticut Sun,1611661323,2021,32,31.9,65.5,34.5,47.3,15.6,27.2,7.8,25.5,25.7,31.7,48.7,51.3,77.3,22.7,56.6,43.4
DiJonai Carrington,Connecticut Sun,1611661323,2021,24,9.2,74.4,25.6,70.6,0,13.2,14.7,16.2,19.1,70.6,45.8,54.2,100,0,51.9,48.1
Emma Cannon,Connecticut Sun,1611661323,2021,5,11.5,52.9,47.1,38.1,0,57.1,0,4.8,14.3,38.1,25,75,100,0,62.5,37.5
Jasmine Thomas,Connecticut Sun,1611661323,2021,30,29.6,64.2,35.8,44.8,8.8,39.7,10.4,15.5,14.8,36,22.5,77.5,90.5,9.5,47.8,52.2
Jonquel Jones,Connecticut Sun,1611661323,2021,27,31.7,68.9,31.1,57.4,8,24.1,6.9,18.5,20.1,49.3,65.3,34.7,97.6,2.4,72.4,27.6
Kaila Charles,Connecticut Sun,1611661323,2021,30,16.3,75.2,24.8,60.5,9.3,23.3,9.3,16.2,20.2,51.2,66.7,33.3,100,0,73.5,26.5
Natisha Hiedeman,Connecticut Sun,1611661323,2021,32,20.1,34.4,65.6,22.3,3.3,63.2,9.1,14.5,21.1,19,33.3,66.7,68.6,31.4,56.4,43.6
Shatori Walker-Kimbrough,Connecticut Sun,1611661323,2021,1,4.2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Stephanie Jones,Connecticut Sun,1611661323,2021,18,5.5,96.6,3.4,96,16,0,8,4,40,80,75,25,0,0,75,25
Alyssa Thomas,Connecticut Sun,1611661323,2022,36,32.1,99.5,0.5,77.7,6.2,0,20.2,22.3,27.5,71.5,62.2,37.8,0,0,62.2,37.8
Bria Hartley,Connecticut Sun,1611661323,2022,3,12.1,27.3,72.7,14.3,14.3,85.7,0,0,21.4,0,100,0,75,25,80,20
Brionna Jones,Connecticut Sun,1611661323,2022,36,25.1,98.2,1.8,75,7.7,0,5.4,25,18.5,67.3,69.4,30.6,0,0,69.4,30.6
Courtney Williams,Connecticut Sun,1611661323,2022,34,28,83.2,16.8,75.5,48.5,17.4,20.6,7.1,20.3,26.9,58.7,41.3,90.9,9.1,63,37
DeWanna Bonner,Connecticut Sun,1611661323,2022,33,30,60.6,39.4,49.5,19.8,31.1,11.9,19.4,18.2,29.7,65.5,34.5,82.6,17.4,70.5,29.5
DiJonai Carrington,Connecticut Sun,1611661323,2022,36,17.5,69.5,30.5,53.3,1.6,23.4,32.8,23.3,33.2,51.6,52.3,47.7,94.7,5.3,61.9,38.1
Jasmine Thomas,Connecticut Sun,1611661323,2022,5,21.8,56.7,43.3,18.2,6.1,45.5,18.2,36.3,24.2,12.1,0,100,80,20,50,50
Jazmine Jones,Connecticut Sun,1611661323,2022,7,6.2,71.4,28.6,66.7,66.7,0,0,33.3,0,0,0,100,0,0,0,100
Jonquel Jones,Connecticut Sun,1611661323,2022,33,26.4,67.6,32.4,56,7.1,25.5,4.6,18.5,17,49,67.4,32.6,95.1,4.9,73.9,26.1
Joyner Holmes,Connecticut Sun,1611661323,2022,26,7.9,63.9,36.1,52.8,18.9,28.3,11.3,18.9,24.5,34,42.9,57.1,100,0,57.9,42.1
Kiana Williams,Connecticut Sun,1611661323,2022,1,2.8,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Natisha Hiedeman,Connecticut Sun,1611661323,2022,36,25,38.7,61.3,29.8,3,62.9,19.8,7.3,24.9,26.7,20.4,79.6,87,13,59.3,40.7
Nia Clouden,Connecticut Sun,1611661323,2022,28,8.9,45.3,54.7,20.7,0,62.1,13.8,17.2,39.7,20.7,50,50,75,25,66.7,33.3
Odyssey Sims,Connecticut Sun,1611661323,2022,5,18.2,63.3,36.7,48.3,0,31,17.2,20.7,13.8,48.3,42.9,57.1,100,0,60,40
Stephanie Jones,Connecticut Sun,1611661323,2022,2,4,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Yvonne Anderson,Connecticut Sun,1611661323,2022,11,9.2,61.5,38.5,45.7,5.7,34.3,20,20,37.1,40,62.5,37.5,100,0,75,25
Alyssa Thomas,Connecticut Sun,1611661323,2023,16,36.9,100,0,75.5,7.7,0,12,24.5,24.9,67.8,60.2,39.8,0,0,60.2,39.8
Brionna Jones,Connecticut Sun,1611661323,2023,13,31.7,97.1,2.9,75.4,7.7,2.9,4.8,21.7,21.3,67.6,74.4,25.6,100,0,75,25
DeWanna Bonner,Connecticut Sun,1611661323,2023,16,29.3,59.9,40.1,44,9.2,33,20.9,23,25.5,34.8,72.6,27.4,83.9,16.1,76.3,23.7
DiJonai Carrington,Connecticut Sun,1611661323,2023,14,16,71.3,28.7,51.7,0,27.5,25,20.8,20,51.7,64.5,35.5,90.9,9.1,71.4,28.6
Lauren Cox,Connecticut Sun,1611661323,2023,1,0.1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Leigha Brown,Connecticut Sun,1611661323,2023,9,4,66.7,33.3,0,0,0,0,100,0,0,0,0,0,0,0,0
Liz Dixon,Connecticut Sun,1611661323,2023,2,3.3,100,0,100,0,0,0,0,0,100,50,50,0,0,50,50
Natisha Hiedeman,Connecticut Sun,1611661323,2023,16,28.4,50.3,49.7,43.1,9.2,46.2,16.9,10.7,25.4,33.8,50,50,100,0,70.8,29.2
Olivia Nelson-Ododa,Connecticut Sun,1611661323,2023,16,10.7,100,0,69.1,3.6,0,0,30.9,16.4,65.5,73.7,26.3,0,0,73.7,26.3
Rebecca Allen,Connecticut Sun,1611661323,2023,16,16.7,39.7,60.3,24.7,8.2,65.8,11,9.5,21.9,16.4,44.4,55.6,93.8,6.3,76,24
Tiffany Hayes,Connecticut Sun,1611661323,2023,16,24.5,63.9,36.1,51.2,5.8,31.4,18,17.4,19.8,45.3,56.8,43.2,77.8,22.2,62.9,37.1
Tyasha Harris,Connecticut Sun,1611661323,2023,16,12.7,60.3,39.7,52.3,24.6,41.5,21.5,6.2,33.8,27.7,58.8,41.2,100,0,73.1,26.9
Arike Ogunbowale,Dallas Wings,1611661321,1997,15,37.2,55.2,44.8,45.2,12.5,36.6,20.8,18.2,26.2,32.7,40.8,59.2,61,39,47.9,52.1
Ashley Joens,Dallas Wings,1611661321,1997,8,1.7,50,50,100,100,0,0,0,0,0,100,0,0,0,100,0
