"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","81350","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","92788","B","","","0"
"2007","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","100156","B","","","0"
"2008","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","103715","B","","","0"
"2009","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","103366","B","","","0"
"2010","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","105785","B","","","0"
"2011","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","109160","B","","","0"
"2012","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","117370","B","","","0"
"2013","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","121282","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","128323","B","","","0"
"2015","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","130335","B","","","0"
"2016","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","111753","B","","","0"
"2017","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","118688","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","120368","B","","","0"
