"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","78079","","","","0"
"1992","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","75571","","","","0"
"1993","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","75909","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","77276","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","78689","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","80985","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","89530","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","95237","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","96038","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","102183","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","109424","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","109899","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","113284","A","","","0"
