"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","30092","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","32869","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","34592","B","","","0"
"2000","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","36273","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","39171","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","39311","B","","","0"
"2003","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","39687","B","","","0"
"2004","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","42088","B","","","0"
"2005","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","46795","B","","","0"
"2006","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","50434","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","53869","B","","","0"
"2008","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","56375","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","57960","B","","","0"
"2010","Alberta","2016A000248","16 years and over","Females","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680806","12.1.3.1.3","59362","B","","","0"
